pick_up_zone,drop_off_zone,weight
4.0,4.0,1421
4.0,12.0,19
4.0,13.0,301
4.0,24.0,47
4.0,41.0,105
4.0,42.0,98
4.0,43.0,185
4.0,45.0,267
4.0,48.0,855
4.0,50.0,277
4.0,68.0,1108
4.0,74.0,201
4.0,75.0,322
4.0,79.0,3246
4.0,87.0,783
4.0,88.0,487
4.0,90.0,934
4.0,100.0,691
4.0,107.0,2231
4.0,113.0,1433
4.0,114.0,1502
4.0,116.0,75
4.0,120.0,8
4.0,125.0,503
4.0,127.0,26
4.0,128.0,5
4.0,137.0,1053
4.0,140.0,438
4.0,141.0,570
4.0,142.0,429
4.0,143.0,125
4.0,144.0,1406
4.0,148.0,1961
4.0,151.0,146
4.0,152.0,37
4.0,158.0,804
4.0,161.0,942
4.0,162.0,734
4.0,163.0,303
4.0,164.0,1013
4.0,166.0,113
4.0,170.0,1447
4.0,186.0,883
4.0,209.0,286
4.0,211.0,975
4.0,224.0,595
4.0,229.0,589
4.0,230.0,509
4.0,231.0,1088
4.0,232.0,842
4.0,233.0,793
4.0,234.0,1941
4.0,236.0,316
4.0,237.0,522
4.0,238.0,252
4.0,239.0,315
4.0,243.0,41
4.0,244.0,84
4.0,246.0,618
4.0,249.0,1827
4.0,261.0,275
4.0,262.0,294
4.0,263.0,379
12.0,4.0,33
12.0,12.0,95
12.0,13.0,289
12.0,24.0,1
12.0,41.0,6
12.0,42.0,11
12.0,43.0,114
12.0,45.0,146
12.0,48.0,227
12.0,50.0,80
12.0,68.0,186
12.0,74.0,5
12.0,75.0,12
12.0,79.0,152
12.0,87.0,277
12.0,88.0,48
12.0,90.0,60
12.0,100.0,188
12.0,107.0,74
12.0,113.0,63
12.0,114.0,72
12.0,116.0,1
12.0,125.0,63
12.0,127.0,1
12.0,137.0,36
12.0,140.0,40
12.0,141.0,48
12.0,142.0,75
12.0,143.0,20
12.0,144.0,157
12.0,148.0,77
12.0,151.0,14
12.0,152.0,1
12.0,158.0,116
12.0,161.0,289
12.0,162.0,153
12.0,163.0,107
12.0,164.0,226
12.0,166.0,12
12.0,170.0,173
12.0,186.0,75
12.0,209.0,72
12.0,211.0,149
12.0,224.0,12
12.0,229.0,64
12.0,230.0,315
12.0,231.0,382
12.0,232.0,25
12.0,233.0,109
12.0,234.0,109
12.0,236.0,32
12.0,237.0,74
12.0,238.0,18
12.0,239.0,51
12.0,243.0,1
12.0,244.0,8
12.0,246.0,210
12.0,249.0,89
12.0,261.0,199
12.0,262.0,13
12.0,263.0,11
13.0,4.0,395
13.0,12.0,431
13.0,13.0,3873
13.0,24.0,53
13.0,41.0,75
13.0,42.0,50
13.0,43.0,642
13.0,45.0,763
13.0,48.0,2846
13.0,50.0,1017
13.0,68.0,4016
13.0,74.0,74
13.0,75.0,245
13.0,79.0,1920
13.0,87.0,3566
13.0,88.0,1961
13.0,90.0,1535
13.0,100.0,2048
13.0,107.0,1816
13.0,113.0,1904
13.0,114.0,1603
13.0,116.0,37
13.0,120.0,3
13.0,125.0,1864
13.0,127.0,35
13.0,128.0,3
13.0,137.0,1049
13.0,140.0,854
13.0,141.0,973
13.0,142.0,1176
13.0,143.0,552
13.0,144.0,1693
13.0,148.0,984
13.0,151.0,190
13.0,152.0,24
13.0,158.0,2941
13.0,161.0,4164
13.0,162.0,2758
13.0,163.0,1535
13.0,164.0,2138
13.0,166.0,174
13.0,170.0,2898
13.0,186.0,849
13.0,209.0,552
13.0,211.0,2682
13.0,224.0,414
13.0,229.0,917
13.0,230.0,2802
13.0,231.0,7535
13.0,232.0,628
13.0,233.0,1783
13.0,234.0,3382
13.0,236.0,735
13.0,237.0,1224
13.0,238.0,535
13.0,239.0,828
13.0,243.0,50
13.0,244.0,74
13.0,246.0,2987
13.0,249.0,2791
13.0,261.0,1803
13.0,262.0,366
13.0,263.0,511
24.0,4.0,54
24.0,12.0,4
24.0,13.0,81
24.0,24.0,763
24.0,41.0,906
24.0,42.0,478
24.0,43.0,854
24.0,45.0,11
24.0,48.0,897
24.0,50.0,291
24.0,68.0,550
