zone_index,community
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,4
13,4
14,12
15,13
16,14
17,15
18,16
19,17
20,18
21,19
22,20
23,21
24,22
25,23
26,24
27,25
28,26
29,27
30,28
31,29
32,30
33,31
34,32
35,33
36,34
37,35
38,36
39,37
40,38
41,22
42,22
43,22
44,39
45,4
46,40
47,41
48,22
49,42
50,22
51,43
52,44
53,45
54,46
55,47
56,48
57,49
58,50
59,51
60,52
61,53
62,54
63,55
64,56
65,57
66,58
67,59
68,4
69,60
70,61
71,62
72,63
73,64
74,65
75,65
76,66
77,67
78,68
79,4
80,69
81,70
82,71
83,72
84,73
85,74
86,75
87,4
88,4
89,76
90,4
91,77
92,78
93,79
94,80
95,81
96,82
97,83
98,84
99,85
100,22
101,86
102,87
103,88
104,89
105,90
106,91
107,4
108,92
109,93
110,94
111,95
112,96
113,4
114,4
115,97
116,22
117,98
118,99
119,100
120,22
121,101
122,102
123,103
124,104
125,4
126,105
127,22
128,22
129,106
130,107
131,108
132,109
133,110
134,111
135,112
136,113
137,4
138,114
139,115
140,65
141,65
142,22
143,22
144,4
145,116
146,117
147,118
148,4
149,119
150,120
151,22
152,22
153,121
154,122
155,123
156,124
157,125
158,4
159,126
160,127
161,22
162,65
163,22
164,4
165,128
166,22
167,129
168,130
169,131
170,4
171,132
172,133
173,134
174,135
175,136
176,137
177,138
178,139
179,140
180,141
181,142
182,143
183,144
184,145
185,146
186,4
187,147
188,148
189,149
190,150
191,151
192,152
193,153
194,154
195,155
196,156
197,157
198,158
199,159
200,160
201,161
202,162
203,163
204,164
205,165
206,166
207,167
208,168
209,4
210,169
211,4
212,170
213,171
214,172
215,173
216,174
217,175
218,176
219,177
220,178
221,179
222,180
223,181
224,4
225,182
226,183
227,184
228,185
229,65
230,22
231,4
232,4
233,65
234,4
235,186
236,65
237,65
238,22
239,22
240,187
241,188
242,189
243,22
244,22
245,190
246,4
247,191
248,192
249,4
250,193
251,194
252,195
253,196
254,197
255,198
256,199
257,200
258,201
259,202
260,203
261,4
262,65
263,65
