pick_up_zone,drop_off_zone,weight
4.0,4.0,1818
4.0,12.0,28
4.0,13.0,315
4.0,24.0,70
4.0,41.0,131
4.0,42.0,169
4.0,43.0,192
4.0,45.0,348
4.0,48.0,943
4.0,50.0,282
4.0,68.0,1253
4.0,74.0,224
4.0,75.0,349
4.0,79.0,4133
4.0,87.0,850
4.0,88.0,433
4.0,90.0,1195
4.0,100.0,724
4.0,107.0,2962
4.0,113.0,1911
4.0,114.0,1798
4.0,116.0,76
4.0,120.0,8
4.0,125.0,604
4.0,127.0,29
4.0,128.0,3
4.0,137.0,1268
4.0,140.0,493
4.0,141.0,651
4.0,142.0,437
4.0,143.0,194
4.0,144.0,1734
4.0,148.0,2433
4.0,151.0,166
4.0,152.0,38
4.0,158.0,816
4.0,161.0,1087
4.0,162.0,780
4.0,163.0,353
4.0,164.0,1264
4.0,166.0,142
4.0,170.0,1548
4.0,186.0,951
4.0,209.0,332
4.0,211.0,1207
4.0,224.0,837
4.0,229.0,639
4.0,230.0,481
4.0,231.0,1383
4.0,232.0,1009
4.0,233.0,937
4.0,234.0,2246
4.0,236.0,414
4.0,237.0,582
4.0,238.0,279
4.0,239.0,361
4.0,243.0,71
4.0,244.0,100
4.0,246.0,633
4.0,249.0,2332
4.0,261.0,338
4.0,262.0,407
4.0,263.0,471
12.0,4.0,32
12.0,12.0,104
12.0,13.0,236
12.0,41.0,4
12.0,42.0,4
12.0,43.0,86
12.0,45.0,106
12.0,48.0,210
12.0,50.0,56
12.0,68.0,160
12.0,74.0,3
12.0,75.0,9
12.0,79.0,122
12.0,87.0,200
12.0,88.0,62
12.0,90.0,51
12.0,100.0,119
12.0,107.0,63
12.0,113.0,57
12.0,114.0,49
12.0,116.0,1
12.0,120.0,1
12.0,125.0,62
12.0,127.0,1
12.0,128.0,2
12.0,137.0,19
12.0,140.0,25
12.0,141.0,38
12.0,142.0,44
12.0,143.0,18
12.0,144.0,132
12.0,148.0,74
12.0,151.0,10
12.0,152.0,2
12.0,158.0,85
12.0,161.0,253
12.0,162.0,119
12.0,163.0,91
12.0,164.0,208
12.0,166.0,14
12.0,170.0,124
12.0,186.0,62
12.0,209.0,62
12.0,211.0,133
12.0,224.0,15
12.0,229.0,58
12.0,230.0,196
12.0,231.0,322
12.0,232.0,34
12.0,233.0,78
12.0,234.0,111
12.0,236.0,17
12.0,237.0,57
12.0,238.0,22
12.0,239.0,42
12.0,243.0,2
12.0,244.0,1
12.0,246.0,134
12.0,249.0,82
12.0,261.0,191
12.0,262.0,15
12.0,263.0,3
13.0,4.0,418
13.0,12.0,402
13.0,13.0,5269
13.0,24.0,35
13.0,41.0,77
13.0,42.0,46
13.0,43.0,805
13.0,45.0,913
13.0,48.0,3354
13.0,50.0,987
13.0,68.0,4274
13.0,74.0,76
13.0,75.0,215
13.0,79.0,1999
13.0,87.0,3385
13.0,88.0,1903
13.0,90.0,1686
13.0,100.0,2037
13.0,107.0,1789
13.0,113.0,1946
13.0,114.0,1746
13.0,116.0,51
13.0,120.0,7
13.0,125.0,1797
13.0,127.0,23
13.0,128.0,5
13.0,137.0,1043
13.0,140.0,848
13.0,141.0,892
13.0,142.0,1359
13.0,143.0,528
13.0,144.0,1882
13.0,148.0,1089
13.0,151.0,195
13.0,152.0,26
13.0,158.0,3282
13.0,161.0,4458
13.0,162.0,2711
13.0,163.0,1686
13.0,164.0,2196
13.0,166.0,171
13.0,170.0,2627
13.0,186.0,957
13.0,209.0,670
13.0,211.0,2981
13.0,224.0,463
13.0,229.0,920
13.0,230.0,2928
13.0,231.0,8352
13.0,232.0,714
13.0,233.0,1733
13.0,234.0,3369
13.0,236.0,745
13.0,237.0,1388
13.0,238.0,465
13.0,239.0,835
13.0,243.0,41
13.0,244.0,102
13.0,246.0,2814
13.0,249.0,3282
13.0,261.0,1750
13.0,262.0,399
13.0,263.0,424
24.0,4.0,76
24.0,12.0,8
24.0,13.0,64
24.0,24.0,1126
24.0,41.0,1291
24.0,42.0,572
24.0,43.0,1256
24.0,45.0,18
24.0,48.0,1098
24.0,50.0,347
24.0,68.0,653
24.0,74.0,1061
24.0,75.0,910
24.0,79.0,274
24.0,87.0,74
24.0,88.0,31
24.0,90.0,185
24.0,100.0,285
24.0,107.0,284
24.0,113.0,167
24.0,114.0,121
24.0,116.0,532
24.0,120.0,17
24.0,125.0,55
24.0,127.0,116
24.0,128.0,16
24.0,137.0,118
24.0,140.0,414
24.0,141.0,541
24.0,142.0,2433
24.0,143.0,781
24.0,144.0,98
24.0,148.0,102
24.0,151.0,1582
24.0,152.0,567
24.0,158.0,186
24.0,161.0,812
24.0,162.0,516
24.0,163.0,623
24.0,164.0,283
24.0,166.0,1839
24.0,170.0,293
24.0,186.0,236
24.0,209.0,17
24.0,211.0,90
24.0,224.0,71
24.0,229.0,273
24.0,230.0,759
24.0,231.0,168
24.0,232.0,51
24.0,233.0,182
24.0,234.0,301
24.0,236.0,1268
24.0,237.0,938
24.0,238.0,3871
24.0,239.0,3343
24.0,243.0,205
24.0,244.0,736
24.0,246.0,346
24.0,249.0,223
24.0,261.0,33
24.0,262.0,363
24.0,263.0,557
41.0,4.0,87
41.0,12.0,2
41.0,13.0,86
41.0,24.0,1012
41.0,41.0,3369
41.0,42.0,1578
41.0,43.0,1337
41.0,45.0,27
41.0,48.0,988
41.0,50.0,237
41.0,68.0,647
41.0,74.0,2494
41.0,75.0,1650
41.0,79.0,320
41.0,87.0,85
41.0,88.0,37
41.0,90.0,215
41.0,100.0,306
41.0,107.0,299
41.0,113.0,181
41.0,114.0,132
41.0,116.0,643
41.0,120.0,41
41.0,125.0,81
41.0,127.0,113
41.0,128.0,11
41.0,137.0,273
41.0,140.0,449
41.0,141.0,577
41.0,142.0,1457
41.0,143.0,349
41.0,144.0,124
41.0,148.0,153
41.0,151.0,1627
41.0,152.0,699
41.0,158.0,220
41.0,161.0,867
41.0,162.0,479
41.0,163.0,570
41.0,164.0,358
41.0,166.0,2667
41.0,170.0,336
41.0,186.0,284
41.0,209.0,15
41.0,211.0,87
41.0,224.0,83
41.0,229.0,279
41.0,230.0,653
41.0,231.0,240
41.0,232.0,73
41.0,233.0,229
41.0,234.0,347
41.0,236.0,1267
41.0,237.0,889
41.0,238.0,1966
41.0,239.0,1719
41.0,243.0,216
41.0,244.0,546
41.0,246.0,256
41.0,249.0,267
41.0,261.0,29
41.0,262.0,389
41.0,263.0,730
42.0,4.0,26
42.0,12.0,1
42.0,13.0,18
42.0,24.0,110
42.0,41.0,1287
42.0,42.0,1899
42.0,43.0,294
42.0,45.0,6
42.0,48.0,195
42.0,50.0,80
42.0,68.0,111
42.0,74.0,1099
42.0,75.0,498
42.0,79.0,88
42.0,87.0,28
42.0,88.0,24
42.0,90.0,34
42.0,100.0,69
42.0,107.0,63
42.0,113.0,28
42.0,114.0,33
42.0,116.0,415
42.0,120.0,48
42.0,125.0,22
42.0,127.0,55
42.0,128.0,4
42.0,137.0,78
42.0,140.0,115
42.0,141.0,106
42.0,142.0,193
42.0,143.0,47
42.0,144.0,25
42.0,148.0,45
42.0,151.0,201
42.0,152.0,375
42.0,158.0,35
42.0,161.0,233
42.0,162.0,103
42.0,163.0,146
42.0,164.0,104
42.0,166.0,455
42.0,170.0,87
42.0,186.0,95
42.0,209.0,4
42.0,211.0,20
42.0,224.0,18
42.0,229.0,55
42.0,230.0,131
42.0,231.0,43
42.0,232.0,29
42.0,233.0,72
42.0,234.0,84
42.0,236.0,266
42.0,237.0,198
42.0,238.0,212
42.0,239.0,186
42.0,243.0,81
42.0,244.0,222
42.0,246.0,75
42.0,249.0,50
42.0,261.0,15
42.0,262.0,104
42.0,263.0,148
43.0,4.0,263
43.0,12.0,98
43.0,13.0,968
43.0,24.0,910
43.0,41.0,1186
43.0,42.0,547
43.0,43.0,17077
43.0,45.0,243
43.0,48.0,6458
43.0,50.0,1478
43.0,68.0,3077
43.0,74.0,1137
43.0,75.0,2292
43.0,79.0,1706
43.0,87.0,621
43.0,88.0,451
43.0,90.0,1619
43.0,100.0,5058
43.0,107.0,2357
43.0,113.0,1904
43.0,114.0,1342
43.0,116.0,314
43.0,120.0,17
43.0,125.0,566
43.0,127.0,100
43.0,128.0,15
43.0,137.0,1019
43.0,140.0,3213
43.0,141.0,6507
43.0,142.0,14762
43.0,143.0,3409
43.0,144.0,1271
43.0,148.0,639
43.0,151.0,3041
43.0,152.0,192
43.0,158.0,1522
43.0,161.0,18351
43.0,162.0,7387
43.0,163.0,7571
43.0,164.0,5621
43.0,166.0,1885
43.0,170.0,4447
43.0,186.0,4018
43.0,209.0,188
43.0,211.0,1425
43.0,224.0,365
43.0,229.0,3184
43.0,230.0,9349
43.0,231.0,1862
43.0,232.0,320
43.0,233.0,2156
43.0,234.0,4044
43.0,236.0,13072
43.0,237.0,15303
43.0,238.0,7765
43.0,239.0,10772
43.0,243.0,239
43.0,244.0,484
43.0,246.0,2024
43.0,249.0,2316
43.0,261.0,964
43.0,262.0,3071
43.0,263.0,4064
45.0,4.0,416
45.0,12.0,48
45.0,13.0,663
45.0,24.0,21
45.0,41.0,53
45.0,42.0,60
45.0,43.0,189
45.0,45.0,1150
45.0,48.0,681
45.0,50.0,161
45.0,68.0,593
45.0,74.0,76
45.0,75.0,121
45.0,79.0,1514
45.0,87.0,1166
45.0,88.0,418
45.0,90.0,446
45.0,100.0,565
45.0,107.0,785
45.0,113.0,617
45.0,114.0,561
45.0,116.0,25
45.0,120.0,14
45.0,125.0,303
45.0,127.0,4
45.0,128.0,2
45.0,137.0,361
45.0,140.0,221
45.0,141.0,230
45.0,142.0,225
45.0,143.0,98
45.0,144.0,883
45.0,148.0,944
45.0,151.0,74
45.0,152.0,12
45.0,158.0,408
45.0,161.0,1186
45.0,162.0,555
45.0,163.0,286
45.0,164.0,915
45.0,166.0,62
45.0,170.0,824
45.0,186.0,593
45.0,209.0,426
45.0,211.0,401
45.0,224.0,189
45.0,229.0,258
45.0,230.0,603
45.0,231.0,1561
45.0,232.0,669
45.0,233.0,440
45.0,234.0,768
45.0,236.0,180
45.0,237.0,281
45.0,238.0,140
45.0,239.0,176
45.0,243.0,23
45.0,244.0,36
45.0,246.0,335
45.0,249.0,780
45.0,261.0,889
45.0,262.0,124
45.0,263.0,155
48.0,4.0,1532
48.0,12.0,195
48.0,13.0,4116
48.0,24.0,1532
48.0,41.0,2848
48.0,42.0,2114
48.0,43.0,9417
48.0,45.0,749
48.0,48.0,32062
48.0,50.0,11318
48.0,68.0,28165
48.0,74.0,1935
48.0,75.0,3305
48.0,79.0,8687
48.0,87.0,2796
48.0,88.0,1260
48.0,90.0,9991
48.0,100.0,13281
48.0,107.0,8551
48.0,113.0,4903
48.0,114.0,4160
48.0,116.0,1972
48.0,120.0,136
48.0,125.0,2365
48.0,127.0,872
48.0,128.0,106
48.0,137.0,4657
48.0,140.0,4412
48.0,141.0,7813
48.0,142.0,22231
48.0,143.0,8645
48.0,144.0,3314
48.0,148.0,2983
48.0,151.0,4396
48.0,152.0,1025
48.0,158.0,6321
48.0,161.0,30636
48.0,162.0,13409
48.0,163.0,15733
48.0,164.0,13027
48.0,166.0,3036
48.0,170.0,13002
48.0,186.0,11110
48.0,209.0,616
48.0,211.0,3404
48.0,224.0,1631
48.0,229.0,5957
48.0,230.0,18188
48.0,231.0,7069
48.0,232.0,1228
48.0,233.0,5756
48.0,234.0,12533
48.0,236.0,7810
48.0,237.0,10787
48.0,238.0,9359
48.0,239.0,13769
48.0,243.0,1803
48.0,244.0,2964
48.0,246.0,13085
48.0,249.0,11565
48.0,261.0,2959
48.0,262.0,3375
48.0,263.0,5053
50.0,4.0,347
50.0,12.0,79
50.0,13.0,1335
50.0,24.0,436
50.0,41.0,672
50.0,42.0,456
50.0,43.0,1821
50.0,45.0,216
50.0,48.0,10063
50.0,50.0,5498
50.0,68.0,7292
50.0,74.0,530
50.0,75.0,767
50.0,79.0,1777
50.0,87.0,869
50.0,88.0,376
50.0,90.0,2176
50.0,100.0,4505
50.0,107.0,1910
50.0,113.0,1184
50.0,114.0,1064
50.0,116.0,425
50.0,120.0,31
50.0,125.0,685
50.0,127.0,192
50.0,128.0,33
50.0,137.0,795
50.0,140.0,834
50.0,141.0,1630
50.0,142.0,6272
50.0,143.0,2892
50.0,144.0,752
50.0,148.0,697
50.0,151.0,1252
50.0,152.0,298
50.0,158.0,1798
50.0,161.0,6533
50.0,162.0,2790
50.0,163.0,5227
50.0,164.0,3116
50.0,166.0,1094
50.0,170.0,2630
50.0,186.0,2601
50.0,209.0,179
50.0,211.0,967
50.0,224.0,374
50.0,229.0,1126
50.0,230.0,6054
50.0,231.0,2098
50.0,232.0,275
50.0,233.0,1087
50.0,234.0,3038
50.0,236.0,1725
50.0,237.0,2338
50.0,238.0,2735
50.0,239.0,4330
50.0,243.0,365
50.0,244.0,742
50.0,246.0,4212
50.0,249.0,2540
50.0,261.0,715
50.0,262.0,635
50.0,263.0,1122
68.0,4.0,1806
68.0,12.0,150
68.0,13.0,4055
68.0,24.0,613
68.0,41.0,1135
68.0,42.0,918
68.0,43.0,3631
68.0,45.0,671
68.0,48.0,20961
68.0,50.0,6330
68.0,68.0,22926
68.0,74.0,793
68.0,75.0,1545
68.0,79.0,10158
68.0,87.0,3132
68.0,88.0,944
68.0,90.0,9346
68.0,100.0,7670
68.0,107.0,9699
68.0,113.0,6809
68.0,114.0,5681
68.0,116.0,705
68.0,120.0,45
68.0,125.0,3471
68.0,127.0,331
68.0,128.0,55
68.0,137.0,4185
68.0,140.0,2266
68.0,141.0,4239
68.0,142.0,7236
68.0,143.0,2901
68.0,144.0,4578
68.0,148.0,3660
68.0,151.0,1693
68.0,152.0,391
68.0,158.0,7498
68.0,161.0,15354
68.0,162.0,5867
68.0,163.0,6718
68.0,164.0,9967
68.0,166.0,1267
68.0,170.0,10859
68.0,186.0,4434
68.0,209.0,641
68.0,211.0,4923
68.0,224.0,1812
68.0,229.0,3150
68.0,230.0,11795
68.0,231.0,8251
68.0,232.0,1344
68.0,233.0,3472
68.0,234.0,15150
68.0,236.0,3809
68.0,237.0,5269
68.0,238.0,3341
68.0,239.0,4674
68.0,243.0,600
68.0,244.0,1018
68.0,246.0,11991
68.0,249.0,13986
68.0,261.0,2300
68.0,262.0,1932
68.0,263.0,2635
74.0,4.0,159
74.0,12.0,2
74.0,13.0,45
74.0,24.0,494
74.0,41.0,2526
74.0,42.0,1644
74.0,43.0,886
74.0,45.0,39
74.0,48.0,583
74.0,50.0,195
74.0,68.0,331
74.0,74.0,7576
74.0,75.0,5487
74.0,79.0,368
74.0,87.0,74
74.0,88.0,84
74.0,90.0,198
74.0,100.0,360
74.0,107.0,325
74.0,113.0,103
74.0,114.0,164
74.0,116.0,495
74.0,120.0,65
74.0,125.0,43
74.0,127.0,150
74.0,128.0,18
74.0,137.0,385
74.0,140.0,927
74.0,141.0,1416
74.0,142.0,788
74.0,143.0,194
74.0,144.0,116
74.0,148.0,191
74.0,151.0,903
74.0,152.0,424
74.0,158.0,85
74.0,161.0,712
74.0,162.0,555
74.0,163.0,372
74.0,164.0,349
74.0,166.0,1317
74.0,170.0,369
74.0,186.0,242
74.0,209.0,25
74.0,211.0,80
74.0,224.0,114
74.0,229.0,451
74.0,230.0,394
74.0,231.0,144
74.0,232.0,138
74.0,233.0,258
74.0,234.0,307
74.0,236.0,2489
74.0,237.0,1075
74.0,238.0,1109
74.0,239.0,920
74.0,243.0,197
74.0,244.0,467
74.0,246.0,157
74.0,249.0,178
74.0,261.0,45
74.0,262.0,1141
74.0,263.0,2887
75.0,4.0,343
75.0,12.0,19
75.0,13.0,235
75.0,24.0,891
75.0,41.0,2504
75.0,42.0,1556
75.0,43.0,3298
75.0,45.0,102
75.0,48.0,1980
75.0,50.0,531
75.0,68.0,1307
75.0,74.0,7166
75.0,75.0,9006
75.0,79.0,1087
75.0,87.0,346
75.0,88.0,245
75.0,90.0,524
75.0,100.0,1486
75.0,107.0,1197
75.0,113.0,446
75.0,114.0,374
75.0,116.0,463
75.0,120.0,64
75.0,125.0,221
75.0,127.0,214
75.0,128.0,30
75.0,137.0,1071
75.0,140.0,2518
75.0,141.0,4485
75.0,142.0,3115
75.0,143.0,915
75.0,144.0,277
75.0,148.0,478
75.0,151.0,3402
75.0,152.0,463
75.0,158.0,370
75.0,161.0,3444
75.0,162.0,2716
75.0,163.0,1498
75.0,164.0,1336
75.0,166.0,1760
75.0,170.0,1420
75.0,186.0,1281
75.0,209.0,145
75.0,211.0,219
75.0,224.0,389
75.0,229.0,1588
75.0,230.0,1338
75.0,231.0,515
75.0,232.0,341
75.0,233.0,1049
75.0,234.0,1086
75.0,236.0,10450
75.0,237.0,6127
75.0,238.0,5172
75.0,239.0,3346
75.0,243.0,335
75.0,244.0,632
75.0,246.0,602
75.0,249.0,628
75.0,261.0,120
75.0,262.0,3427
75.0,263.0,6717
79.0,4.0,8276
79.0,12.0,165
79.0,13.0,2932
79.0,24.0,638
79.0,41.0,1179
79.0,42.0,912
79.0,43.0,2009
79.0,45.0,2178
79.0,48.0,8848
79.0,50.0,2343
79.0,68.0,11196
79.0,74.0,1441
79.0,75.0,2517
79.0,79.0,25768
79.0,87.0,6122
79.0,88.0,2116
79.0,90.0,10979
79.0,100.0,6629
79.0,107.0,22766
79.0,113.0,13162
79.0,114.0,12056
79.0,116.0,634
79.0,120.0,76
79.0,125.0,4196
79.0,127.0,264
79.0,128.0,34
79.0,137.0,12409
79.0,140.0,4115
79.0,141.0,7646
79.0,142.0,4658
79.0,143.0,1676
79.0,144.0,10830
79.0,148.0,14655
79.0,151.0,1534
79.0,152.0,378
79.0,158.0,7178
79.0,161.0,10985
79.0,162.0,8281
79.0,163.0,3759
79.0,164.0,12635
79.0,166.0,1268
79.0,170.0,16537
79.0,186.0,10958
79.0,209.0,2166
79.0,211.0,8051
79.0,224.0,4552
79.0,229.0,7542
79.0,230.0,5141
79.0,231.0,11198
79.0,232.0,6383
79.0,233.0,8856
79.0,234.0,18032
79.0,236.0,4274
79.0,237.0,4883
79.0,238.0,2748
79.0,239.0,3678
79.0,243.0,568
79.0,244.0,805
79.0,246.0,5311
79.0,249.0,18878
79.0,261.0,2942
79.0,262.0,3993
79.0,263.0,5037
87.0,4.0,1065
87.0,12.0,195
87.0,13.0,2662
87.0,24.0,71
87.0,41.0,122
87.0,42.0,148
87.0,43.0,625
87.0,45.0,1684
87.0,48.0,2185
87.0,50.0,721
87.0,68.0,2633
87.0,74.0,166
87.0,75.0,374
87.0,79.0,4567
87.0,87.0,2074
87.0,88.0,932
87.0,90.0,1385
87.0,100.0,1768
87.0,107.0,2783
87.0,113.0,1698
87.0,114.0,1982
87.0,116.0,77
87.0,120.0,6
87.0,125.0,1323
87.0,127.0,34
87.0,128.0,6
87.0,137.0,1824
87.0,140.0,1138
87.0,141.0,1336
87.0,142.0,797
87.0,143.0,353
87.0,144.0,3247
87.0,148.0,2870
87.0,151.0,208
87.0,152.0,46
87.0,158.0,2390
87.0,161.0,4525
87.0,162.0,3289
87.0,163.0,1212
87.0,164.0,2694
87.0,166.0,126
87.0,170.0,3356
87.0,186.0,1401
87.0,209.0,648
87.0,211.0,2500
87.0,224.0,815
87.0,229.0,1646
87.0,230.0,1674
87.0,231.0,6241
87.0,232.0,1254
87.0,233.0,2568
87.0,234.0,3026
87.0,236.0,867
87.0,237.0,1417
87.0,238.0,375
