pick_up_zone,drop_off_zone,weight
4,4,1898
4,12,21
4,13,287
4,24,86
4,41,149
4,42,135
4,43,169
4,45,403
4,48,944
4,50,298
4,68,1207
4,74,220
4,75,363
4,79,4886
4,87,865
4,88,328
4,90,1200
4,100,590
4,107,3014
4,113,1995
4,114,2028
4,116,82
4,120,9
4,125,748
4,127,42
4,128,1
4,137,1379
4,140,477
4,141,653
4,142,459
4,143,142
4,144,1965
4,148,2840
4,151,163
4,152,30
4,158,805
4,161,872
4,162,745
4,163,349
4,164,1106
4,166,138
4,170,1494
4,186,857
4,209,283
4,211,1260
4,224,813
4,229,645
4,230,507
4,231,1366
4,232,1187
4,233,834
4,234,2316
4,236,381
4,237,546
4,238,293
4,239,411
4,243,88
4,244,68
4,246,632
4,249,2217
4,261,298
4,262,385
4,263,509
12,4,19
12,12,47
12,13,283
12,24,3
12,41,8
12,42,1
12,43,52
12,45,73
12,48,104
12,50,29
12,68,139
12,74,2
12,75,2
12,79,87
12,87,192
12,88,35
12,90,45
12,100,90
12,107,37
12,113,33
12,114,36
12,116,1
12,125,32
12,127,1
12,137,39
12,140,21
12,141,19
12,142,45
12,143,7
12,144,128
12,148,54
12,151,12
12,152,3
12,158,89
12,161,157
12,162,102
12,163,74
12,164,146
12,166,7
12,170,74
12,186,42
12,209,39
12,211,103
12,224,7
12,229,48
12,230,157
12,231,279
12,232,24
12,233,60
12,234,60
12,236,14
12,237,56
12,238,31
12,239,29
12,243,7
12,244,5
12,246,126
12,249,83
12,261,132
12,262,17
12,263,14
13,4,404
13,12,315
13,13,3291
13,24,41
13,41,77
13,42,47
13,43,514
13,45,722
13,48,2345
13,50,802
13,68,3435
13,74,49
13,75,221
13,79,1936
13,87,3714
13,88,1910
13,90,1523
13,100,1652
13,107,1807
13,113,2017
13,114,1568
13,116,33
13,120,1
13,125,1530
13,127,23
13,128,3
13,137,1084
13,140,804
13,141,908
13,142,1272
13,143,525
13,144,1581
13,148,1002
13,151,196
13,152,23
13,158,2704
13,161,3661
13,162,2422
13,163,1419
13,164,1813
13,166,148
13,170,2591
13,186,787
13,209,587
13,211,2441
13,224,391
13,229,858
13,230,2361
13,231,8459
13,232,586
13,233,1515
13,234,3081
13,236,719
13,237,1225
13,238,555
13,239,883
13,243,29
13,244,67
13,246,2421
13,249,3037
13,261,1882
13,262,430
13,263,451
24,4,85
24,12,3
24,13,76
24,24,696
24,41,1042
24,42,572
24,43,1068
24,45,6
24,48,881
24,50,274
24,68,445
24,74,851
24,75,776
24,79,232
24,87,47
24,88,27
24,90,169
24,100,217
24,107,204
24,113,144
24,114,116
24,116,462
24,120,14
24,125,60
24,127,93
24,128,12
24,137,131
24,140,344
24,141,423
24,142,2114
24,143,734
24,144,81
24,148,83
24,151,1420
24,152,440
24,158,136
24,161,655
24,162,441
24,163,512
24,164,250
24,166,1905
24,170,236
24,186,188
24,209,4
24,211,82
24,224,38
24,229,203
24,230,482
24,231,137
24,232,45
24,233,129
24,234,347
24,236,1195
24,237,760
24,238,3518
24,239,2942
24,243,191
24,244,567
24,246,286
24,249,190
24,261,29
24,262,327
24,263,527
41,4,66
41,12,5
41,13,55
41,24,853
41,41,3878
41,42,1280
41,43,956
41,45,21
41,48,695
41,50,200
41,68,351
41,74,1875
41,75,1431
41,79,218
41,87,57
41,88,27
41,90,172
41,100,209
41,107,205
41,113,76
41,114,114
41,116,469
41,120,20
41,125,41
41,127,64
41,128,12
41,137,201
41,140,350
41,141,442
41,142,929
41,143,293
41,144,47
41,148,135
41,151,1450
41,152,614
41,158,138
41,161,660
41,162,318
41,163,425
41,164,229
41,166,2512
41,170,234
41,186,178
41,209,21
41,211,51
41,224,46
41,229,213
41,230,373
41,231,123
41,232,48
41,233,166
41,234,228
41,236,1055
41,237,648
41,238,1503
41,239,1258
41,243,161
41,244,391
41,246,208
41,249,152
41,261,29
41,262,293
41,263,607
42,4,27
42,12,2
42,13,16
42,24,90
42,41,1099
42,42,2467
42,43,248
42,45,6
42,48,164
42,50,52
42,68,90
42,74,1075
42,75,455
42,79,50
42,87,21
42,88,8
42,90,28
42,100,47
42,107,51
42,113,32
42,114,26
42,116,354
42,120,44
42,125,8
42,127,44
42,128,4
42,137,68
42,140,98
42,141,96
42,142,165
42,143,45
42,144,14
42,148,33
42,151,180
42,152,343
42,158,36
42,161,178
42,162,102
42,163,138
42,164,77
42,166,369
42,170,47
42,186,46
42,209,4
42,211,10
42,224,14
42,229,58
42,230,79
42,231,37
42,232,37
42,233,39
42,234,83
42,236,216
42,237,127
42,238,197
42,239,141
42,243,54
42,244,172
42,246,60
42,249,33
42,261,6
42,262,88
42,263,99
43,4,217
43,12,33
43,13,718
