pick_up_zone,drop_off_zone,weight
4.0,4.0,1819
4.0,12.0,32
4.0,13.0,391
4.0,24.0,74
4.0,41.0,136
4.0,42.0,170
4.0,43.0,227
4.0,45.0,339
4.0,48.0,1098
4.0,50.0,327
4.0,68.0,1420
4.0,74.0,228
4.0,75.0,418
4.0,79.0,3859
4.0,87.0,941
4.0,88.0,518
4.0,90.0,1228
4.0,100.0,862
4.0,107.0,2586
4.0,113.0,1763
4.0,114.0,1844
4.0,116.0,89
4.0,120.0,11
4.0,125.0,589
4.0,127.0,30
4.0,128.0,2
4.0,137.0,1366
4.0,140.0,495
4.0,141.0,677
4.0,142.0,503
4.0,143.0,185
4.0,144.0,1797
4.0,148.0,2646
4.0,151.0,218
4.0,152.0,49
4.0,158.0,1085
4.0,161.0,1032
4.0,162.0,827
4.0,163.0,356
4.0,164.0,1252
4.0,166.0,146
4.0,170.0,1752
4.0,186.0,1117
4.0,209.0,444
4.0,211.0,1261
4.0,224.0,774
4.0,229.0,707
4.0,230.0,591
4.0,231.0,1284
4.0,232.0,983
4.0,233.0,951
4.0,234.0,2345
4.0,236.0,412
4.0,237.0,627
4.0,238.0,309
4.0,239.0,410
4.0,243.0,70
4.0,244.0,94
4.0,246.0,754
4.0,249.0,2380
4.0,261.0,341
4.0,262.0,417
4.0,263.0,505
12.0,4.0,40
12.0,12.0,71
12.0,13.0,340
12.0,24.0,6
12.0,41.0,4
12.0,42.0,7
12.0,43.0,135
12.0,45.0,200
12.0,48.0,304
12.0,50.0,97
12.0,68.0,245
12.0,74.0,1
12.0,75.0,12
12.0,79.0,172
12.0,87.0,322
12.0,88.0,82
12.0,90.0,63
12.0,100.0,222
12.0,107.0,92
12.0,113.0,82
12.0,114.0,91
12.0,116.0,3
12.0,125.0,75
12.0,137.0,53
12.0,140.0,37
12.0,141.0,34
12.0,142.0,95
12.0,143.0,19
12.0,144.0,231
12.0,148.0,111
12.0,151.0,10
12.0,152.0,3
12.0,158.0,156
12.0,161.0,433
12.0,162.0,161
12.0,163.0,130
12.0,164.0,309
12.0,166.0,7
12.0,170.0,194
12.0,186.0,104
12.0,209.0,105
12.0,211.0,200
12.0,224.0,19
12.0,229.0,71
12.0,230.0,373
12.0,231.0,426
12.0,232.0,28
12.0,233.0,104
