pick_up_zone,drop_off_zone,weight
4.0,4.0,1792
4.0,12.0,17
4.0,13.0,430
4.0,24.0,106
4.0,41.0,129
4.0,42.0,145
4.0,43.0,218
4.0,45.0,313
4.0,48.0,1033
4.0,50.0,345
4.0,68.0,1346
4.0,74.0,235
4.0,75.0,429
4.0,79.0,4111
4.0,87.0,1051
4.0,88.0,536
4.0,90.0,1277
4.0,100.0,808
4.0,107.0,2678
4.0,113.0,1942
4.0,114.0,1883
4.0,116.0,95
4.0,120.0,7
4.0,125.0,653
4.0,127.0,35
4.0,128.0,1
4.0,137.0,1384
4.0,140.0,556
4.0,141.0,771
4.0,142.0,589
4.0,143.0,177
4.0,144.0,1791
4.0,148.0,2503
4.0,151.0,199
4.0,152.0,40
4.0,158.0,1002
4.0,161.0,1076
4.0,162.0,846
4.0,163.0,390
4.0,164.0,1239
4.0,166.0,158
4.0,170.0,1724
4.0,186.0,1016
4.0,209.0,353
4.0,211.0,1307
4.0,224.0,745
4.0,229.0,676
4.0,230.0,605
4.0,231.0,1390
4.0,232.0,1176
4.0,233.0,1021
4.0,234.0,2569
4.0,236.0,448
4.0,237.0,642
4.0,238.0,356
4.0,239.0,427
4.0,243.0,56
4.0,244.0,104
4.0,246.0,766
4.0,249.0,2354
4.0,261.0,351
4.0,262.0,409
4.0,263.0,484
12.0,4.0,43
12.0,12.0,41
12.0,13.0,306
12.0,24.0,4
12.0,41.0,7
12.0,42.0,7
12.0,43.0,89
12.0,45.0,133
12.0,48.0,194
12.0,50.0,75
12.0,68.0,224
12.0,74.0,3
12.0,75.0,6
12.0,79.0,127
12.0,87.0,207
12.0,88.0,52
12.0,90.0,47
12.0,100.0,139
12.0,107.0,69
12.0,113.0,61
12.0,114.0,69
12.0,116.0,4
12.0,125.0,62
12.0,127.0,1
12.0,137.0,37
12.0,140.0,29
12.0,141.0,45
12.0,142.0,71
12.0,143.0,21
12.0,144.0,155
12.0,148.0,80
12.0,151.0,9
12.0,152.0,1
12.0,158.0,134
12.0,161.0,258
12.0,162.0,138
12.0,163.0,116
12.0,164.0,213
12.0,166.0,17
12.0,170.0,155
12.0,186.0,81
12.0,209.0,67
12.0,211.0,135
12.0,224.0,25
12.0,229.0,64
12.0,230.0,285
12.0,231.0,356
12.0,232.0,29
12.0,233.0,93
12.0,234.0,101
12.0,236.0,32
12.0,237.0,76
12.0,238.0,20
12.0,239.0,43
12.0,243.0,6
12.0,244.0,2
12.0,246.0,167
12.0,249.0,112
12.0,261.0,183
12.0,262.0,26
12.0,263.0,22
13.0,4.0,532
13.0,12.0,431
13.0,13.0,4409
13.0,24.0,63
13.0,41.0,89
13.0,42.0,59
13.0,43.0,771
13.0,45.0,819
13.0,48.0,3017
13.0,50.0,1127
13.0,68.0,4653
13.0,74.0,89
13.0,75.0,260
13.0,79.0,2229
13.0,87.0,4071
13.0,88.0,2145
13.0,90.0,1769
13.0,100.0,2207
13.0,107.0,1942
13.0,113.0,2263
13.0,114.0,1893
13.0,116.0,44
13.0,120.0,3
13.0,125.0,1765
13.0,127.0,47
13.0,128.0,7
13.0,137.0,1248
13.0,140.0,933
13.0,141.0,1051
13.0,142.0,1497
13.0,143.0,582
13.0,144.0,1939
13.0,148.0,1156
13.0,151.0,202
13.0,152.0,46
13.0,158.0,3520
13.0,161.0,5020
13.0,162.0,3079
13.0,163.0,1812
13.0,164.0,2333
13.0,166.0,236
13.0,170.0,3162
13.0,186.0,1018
13.0,209.0,632
13.0,211.0,3030
13.0,224.0,400
13.0,229.0,1051
13.0,230.0,2990
13.0,231.0,8100
13.0,232.0,801
13.0,233.0,1976
13.0,234.0,3763
13.0,236.0,881
13.0,237.0,1630
13.0,238.0,646
13.0,239.0,955
13.0,243.0,48
13.0,244.0,97
13.0,246.0,3355
13.0,249.0,3326
13.0,261.0,1963
13.0,262.0,458
13.0,263.0,432
24.0,4.0,80
24.0,12.0,2
24.0,13.0,110
24.0,24.0,943
24.0,41.0,1178
24.0,42.0,561
24.0,43.0,1178
24.0,45.0,15
24.0,48.0,1039
24.0,50.0,367
24.0,68.0,606
24.0,74.0,992
24.0,75.0,899
24.0,79.0,233
24.0,87.0,81
24.0,88.0,32
24.0,90.0,194
24.0,100.0,285
24.0,107.0,265
24.0,113.0,154
24.0,114.0,107
24.0,116.0,431
24.0,120.0,20
24.0,125.0,39
24.0,127.0,96
24.0,128.0,13
24.0,137.0,123
24.0,140.0,401
24.0,141.0,477
24.0,142.0,2295
24.0,143.0,825
24.0,144.0,77
24.0,148.0,98
24.0,151.0,1417
24.0,152.0,483
24.0,158.0,169
24.0,161.0,881
24.0,162.0,526
24.0,163.0,560
24.0,164.0,273
24.0,166.0,1611
24.0,170.0,320
24.0,186.0,261
24.0,209.0,17
24.0,211.0,86
24.0,224.0,64
24.0,229.0,221
24.0,230.0,656
24.0,231.0,147
24.0,232.0,30
24.0,233.0,153
24.0,234.0,419
24.0,236.0,1180
24.0,237.0,831
24.0,238.0,3399
24.0,239.0,3305
24.0,243.0,226
24.0,244.0,690
24.0,246.0,335
24.0,249.0,195
24.0,261.0,38
24.0,262.0,349
24.0,263.0,552
41.0,4.0,88
41.0,12.0,5
41.0,13.0,76
41.0,24.0,928
41.0,41.0,4715
41.0,42.0,1477
41.0,43.0,1217
41.0,45.0,28
41.0,48.0,870
41.0,50.0,310
41.0,68.0,605
41.0,74.0,2122
41.0,75.0,1475
41.0,79.0,269
41.0,87.0,71
41.0,88.0,39
41.0,90.0,195
41.0,100.0,317
41.0,107.0,304
41.0,113.0,160
41.0,114.0,154
41.0,116.0,588
41.0,120.0,47
41.0,125.0,59
41.0,127.0,96
41.0,128.0,24
41.0,137.0,219
41.0,140.0,368
41.0,141.0,473
41.0,142.0,1354
41.0,143.0,351
41.0,144.0,86
41.0,148.0,135
41.0,151.0,1686
41.0,152.0,703
41.0,158.0,155
41.0,161.0,871
41.0,162.0,482
41.0,163.0,534
41.0,164.0,369
41.0,166.0,2473
41.0,170.0,299
41.0,186.0,274
41.0,209.0,15
41.0,211.0,81
41.0,224.0,90
41.0,229.0,228
41.0,230.0,658
41.0,231.0,197
41.0,232.0,76
41.0,233.0,229
41.0,234.0,367
41.0,236.0,1046
41.0,237.0,734
41.0,238.0,1719
41.0,239.0,1679
41.0,243.0,201
41.0,244.0,471
41.0,246.0,282
41.0,249.0,233
41.0,261.0,33
41.0,262.0,285
41.0,263.0,586
42.0,4.0,24
