pick_up_zone,drop_off_zone,weight
4.0,4.0,3963
4.0,12.0,42
4.0,13.0,385
4.0,24.0,65
4.0,41.0,177
4.0,42.0,110
4.0,43.0,212
4.0,45.0,379
4.0,48.0,1131
4.0,50.0,410
4.0,68.0,1283
4.0,74.0,284
4.0,75.0,422
4.0,79.0,5106
4.0,87.0,1041
4.0,88.0,425
4.0,90.0,1402
4.0,100.0,826
4.0,107.0,3390
4.0,113.0,2262
4.0,114.0,2243
4.0,116.0,91
4.0,120.0,19
4.0,125.0,807
4.0,127.0,43
4.0,128.0,6
4.0,137.0,1339
4.0,140.0,616
4.0,141.0,725
4.0,142.0,517
4.0,143.0,201
4.0,144.0,2074
4.0,148.0,3102
4.0,151.0,169
4.0,152.0,52
4.0,158.0,929
4.0,161.0,1230
4.0,162.0,887
4.0,163.0,408
4.0,164.0,1318
4.0,166.0,166
4.0,170.0,1639
4.0,186.0,1012
4.0,209.0,326
4.0,211.0,1281
4.0,224.0,918
4.0,229.0,689
4.0,230.0,650
4.0,231.0,1534
4.0,232.0,1324
4.0,233.0,943
4.0,234.0,2522
4.0,236.0,438
4.0,237.0,623
4.0,238.0,303
4.0,239.0,445
4.0,243.0,73
4.0,244.0,121
4.0,246.0,730
4.0,249.0,2429
4.0,261.0,343
4.0,262.0,427
4.0,263.0,503
12.0,4.0,30
12.0,12.0,84
12.0,13.0,333
12.0,24.0,1
12.0,41.0,6
12.0,42.0,5
12.0,43.0,76
12.0,45.0,79
12.0,48.0,158
12.0,50.0,58
12.0,68.0,176
12.0,74.0,6
12.0,75.0,8
12.0,79.0,127
12.0,87.0,212
12.0,88.0,47
12.0,90.0,54
12.0,100.0,119
12.0,107.0,59
12.0,113.0,56
12.0,114.0,46
12.0,116.0,4
12.0,125.0,57
12.0,137.0,49
12.0,140.0,28
12.0,141.0,37
12.0,142.0,49
12.0,143.0,10
12.0,144.0,120
12.0,148.0,90
12.0,151.0,12
12.0,152.0,1
12.0,158.0,98
12.0,161.0,257
12.0,162.0,127
12.0,163.0,74
12.0,164.0,145
12.0,166.0,3
12.0,170.0,107
12.0,186.0,49
12.0,209.0,49
12.0,211.0,112
12.0,224.0,10
12.0,229.0,60
12.0,230.0,226
