pick_up_zone,drop_off_zone,weight
4.0,4.0,1960
4.0,12.0,37
4.0,13.0,389
4.0,24.0,107
4.0,41.0,168
4.0,42.0,132
4.0,43.0,230
4.0,45.0,364
4.0,48.0,1133
4.0,50.0,342
4.0,68.0,1362
4.0,74.0,283
4.0,75.0,411
4.0,79.0,4304
4.0,87.0,951
4.0,88.0,464
4.0,90.0,1262
4.0,100.0,778
4.0,107.0,2852
4.0,113.0,1971
4.0,114.0,1988
4.0,116.0,100
4.0,120.0,5
4.0,125.0,673
4.0,127.0,48
4.0,128.0,5
4.0,137.0,1354
4.0,140.0,547
4.0,141.0,788
4.0,142.0,498
4.0,143.0,174
4.0,144.0,1959
4.0,148.0,2589
4.0,151.0,194
4.0,152.0,36
4.0,158.0,942
4.0,161.0,1137
4.0,162.0,791
4.0,163.0,430
4.0,164.0,1261
4.0,166.0,165
4.0,170.0,1803
4.0,186.0,1000
4.0,209.0,336
4.0,211.0,1295
4.0,224.0,823
4.0,229.0,674
4.0,230.0,586
4.0,231.0,1444
4.0,232.0,1090
4.0,233.0,950
4.0,234.0,2463
4.0,236.0,491
4.0,237.0,670
4.0,238.0,330
4.0,239.0,481
4.0,243.0,77
4.0,244.0,114
4.0,246.0,788
4.0,249.0,2393
4.0,261.0,358
4.0,262.0,454
4.0,263.0,560
12.0,4.0,35
12.0,12.0,43
12.0,13.0,272
12.0,24.0,1
12.0,41.0,5
12.0,42.0,10
12.0,43.0,78
12.0,45.0,95
12.0,48.0,188
12.0,50.0,90
12.0,68.0,200
12.0,74.0,5
12.0,75.0,9
12.0,79.0,132
12.0,87.0,215
12.0,88.0,61
12.0,90.0,43
12.0,100.0,133
12.0,107.0,85
12.0,113.0,64
12.0,114.0,79
12.0,116.0,2
12.0,120.0,1
12.0,125.0,53
12.0,127.0,1
12.0,128.0,2
12.0,137.0,50
12.0,140.0,28
12.0,141.0,29
12.0,142.0,54
12.0,143.0,14
12.0,144.0,156
12.0,148.0,62
12.0,151.0,12
12.0,158.0,161
12.0,161.0,255
12.0,162.0,90
12.0,163.0,100
12.0,164.0,201
12.0,166.0,10
12.0,170.0,120
12.0,186.0,63
12.0,209.0,60
12.0,211.0,139
12.0,224.0,11
12.0,229.0,48
12.0,230.0,244
12.0,231.0,335
12.0,232.0,38
12.0,233.0,117
12.0,234.0,112
12.0,236.0,25
12.0,237.0,72
12.0,238.0,33
12.0,239.0,40
12.0,243.0,5
12.0,244.0,4
12.0,246.0,158
12.0,249.0,89
12.0,261.0,170
12.0,262.0,14
12.0,263.0,17
13.0,4.0,543
13.0,12.0,430
13.0,13.0,4413
13.0,24.0,62
13.0,41.0,92
13.0,42.0,63
13.0,43.0,720
13.0,45.0,895
13.0,48.0,3034
13.0,50.0,1117
13.0,68.0,4307
13.0,74.0,78
13.0,75.0,276
13.0,79.0,2189
13.0,87.0,3807
13.0,88.0,2117
13.0,90.0,1797
13.0,100.0,2098
13.0,107.0,1936
13.0,113.0,2191
13.0,114.0,1775
13.0,116.0,32
13.0,120.0,2
13.0,125.0,1813
13.0,127.0,30
13.0,128.0,7
13.0,137.0,1252
13.0,140.0,919
13.0,141.0,1014
13.0,142.0,1517
13.0,143.0,592
13.0,144.0,1858
13.0,148.0,1178
13.0,151.0,174
13.0,152.0,33
13.0,158.0,3261
13.0,161.0,4414
13.0,162.0,2886
13.0,163.0,1749
13.0,164.0,2261
13.0,166.0,233
13.0,170.0,2972
13.0,186.0,969
13.0,209.0,593
13.0,211.0,2831
13.0,224.0,409
13.0,229.0,1040
13.0,230.0,2881
13.0,231.0,8305
13.0,232.0,805
13.0,233.0,1793
13.0,234.0,3490
13.0,236.0,848
13.0,237.0,1564
13.0,238.0,554
13.0,239.0,988
13.0,243.0,42
13.0,244.0,84
13.0,246.0,3245
13.0,249.0,3447
13.0,261.0,1885
13.0,262.0,435
13.0,263.0,445
24.0,4.0,88
24.0,12.0,6
24.0,13.0,101
24.0,24.0,877
24.0,41.0,1138
24.0,42.0,611
24.0,43.0,1296
24.0,45.0,15
24.0,48.0,1105
24.0,50.0,365
24.0,68.0,679
24.0,74.0,962
24.0,75.0,900
24.0,79.0,318
24.0,87.0,77
24.0,88.0,37
24.0,90.0,199
24.0,100.0,255
24.0,107.0,248
24.0,113.0,144
24.0,114.0,133
24.0,116.0,564
24.0,120.0,21
24.0,125.0,60
24.0,127.0,121
24.0,128.0,24
24.0,137.0,166
24.0,140.0,404
24.0,141.0,470
24.0,142.0,2415
24.0,143.0,876
24.0,144.0,83
24.0,148.0,111
24.0,151.0,1512
24.0,152.0,537
24.0,158.0,205
24.0,161.0,901
24.0,162.0,512
24.0,163.0,650
24.0,164.0,357
24.0,166.0,2192
24.0,170.0,287
24.0,186.0,331
24.0,209.0,13
24.0,211.0,107
24.0,224.0,58
24.0,229.0,251
24.0,230.0,659
24.0,231.0,172
24.0,232.0,49
24.0,233.0,180
24.0,234.0,394
24.0,236.0,1299
24.0,237.0,996
24.0,238.0,3790
24.0,239.0,3713
24.0,243.0,248
24.0,244.0,739
24.0,246.0,402
24.0,249.0,263
24.0,261.0,38
24.0,262.0,325
24.0,263.0,614
41.0,4.0,89
41.0,12.0,19
41.0,13.0,98
41.0,24.0,973
41.0,41.0,3493
41.0,42.0,1583
41.0,43.0,1280
41.0,45.0,27
41.0,48.0,985
41.0,50.0,297
41.0,68.0,604
41.0,74.0,2252
41.0,75.0,1629
41.0,79.0,288
41.0,87.0,69
41.0,88.0,33
41.0,90.0,225
41.0,100.0,323
41.0,107.0,257
41.0,113.0,155
41.0,114.0,158
41.0,116.0,603
41.0,120.0,30
41.0,125.0,70
41.0,127.0,109
41.0,128.0,18
41.0,137.0,250
41.0,140.0,357
41.0,141.0,466
41.0,142.0,1502
41.0,143.0,424
41.0,144.0,117
41.0,148.0,138
41.0,151.0,1783
41.0,152.0,792
41.0,158.0,205
41.0,161.0,894
41.0,162.0,480
41.0,163.0,619
41.0,164.0,390
41.0,166.0,3206
41.0,170.0,306
41.0,186.0,327
41.0,209.0,20
41.0,211.0,87
41.0,224.0,72
41.0,229.0,216
41.0,230.0,663
41.0,231.0,213
41.0,232.0,90
41.0,233.0,234
41.0,234.0,382
41.0,236.0,1099
41.0,237.0,783
41.0,238.0,1818
41.0,239.0,1765
41.0,243.0,228
41.0,244.0,551
41.0,246.0,344
41.0,249.0,242
41.0,261.0,42
41.0,262.0,310
41.0,263.0,664
42.0,4.0,28
42.0,13.0,29
42.0,24.0,119
42.0,41.0,1415
42.0,42.0,1970
42.0,43.0,298
42.0,45.0,9
42.0,48.0,224
42.0,50.0,77
42.0,68.0,139
42.0,74.0,1156
42.0,75.0,522
42.0,79.0,83
42.0,87.0,30
42.0,88.0,35
42.0,90.0,45
42.0,100.0,81
42.0,107.0,57
42.0,113.0,36
42.0,114.0,53
42.0,116.0,392
42.0,120.0,79
42.0,125.0,31
42.0,127.0,49
42.0,137.0,104
42.0,140.0,118
42.0,141.0,117
42.0,142.0,209
42.0,143.0,53
42.0,144.0,26
42.0,148.0,31
42.0,151.0,207
42.0,152.0,423
42.0,158.0,52
42.0,161.0,210
42.0,162.0,130
42.0,163.0,141
42.0,164.0,96
42.0,166.0,476
42.0,170.0,83
42.0,186.0,54
42.0,209.0,9
42.0,211.0,21
42.0,224.0,21
42.0,229.0,67
42.0,230.0,172
42.0,231.0,50
42.0,232.0,18
42.0,233.0,62
42.0,234.0,101
42.0,236.0,292
42.0,237.0,185
42.0,238.0,237
42.0,239.0,230
42.0,243.0,89
42.0,244.0,251
42.0,246.0,83
42.0,249.0,44
42.0,261.0,16
42.0,262.0,103
42.0,263.0,146
43.0,4.0,339
43.0,12.0,116
43.0,13.0,950
43.0,24.0,1029
43.0,41.0,1295
43.0,42.0,699
43.0,43.0,17018
43.0,45.0,208
43.0,48.0,6467
43.0,50.0,1819
43.0,68.0,3622
43.0,74.0,1222
43.0,75.0,2467
43.0,79.0,2116
43.0,87.0,798
43.0,88.0,451
43.0,90.0,2082
