pick_up_zone,drop_off_zone,weight
4.0,4.0,1406
4.0,12.0,28
4.0,13.0,295
4.0,24.0,62
4.0,41.0,121
4.0,42.0,135
4.0,43.0,185
4.0,45.0,269
4.0,48.0,870
4.0,50.0,267
4.0,68.0,1246
4.0,74.0,189
4.0,75.0,331
4.0,79.0,3623
4.0,87.0,732
4.0,88.0,458
4.0,90.0,1058
4.0,100.0,641
4.0,107.0,2529
4.0,113.0,1717
4.0,114.0,1736
4.0,116.0,55
4.0,120.0,6
4.0,125.0,571
4.0,127.0,29
4.0,128.0,3
4.0,137.0,1164
4.0,140.0,467
4.0,141.0,630
4.0,142.0,480
4.0,143.0,155
4.0,144.0,1542
4.0,148.0,2232
4.0,151.0,159
4.0,152.0,34
4.0,158.0,711
4.0,161.0,928
4.0,162.0,700
4.0,163.0,359
4.0,164.0,1036
4.0,166.0,149
4.0,170.0,1394
4.0,186.0,794
4.0,209.0,259
4.0,211.0,1024
4.0,224.0,677
4.0,229.0,665
4.0,230.0,481
4.0,231.0,1232
4.0,232.0,932
4.0,233.0,878
4.0,234.0,2074
4.0,236.0,401
4.0,237.0,542
4.0,238.0,254
4.0,239.0,309
4.0,243.0,42
4.0,244.0,91
4.0,246.0,689
4.0,249.0,2081
4.0,261.0,294
4.0,262.0,327
4.0,263.0,417
12.0,4.0,36
12.0,12.0,34
12.0,13.0,248
12.0,24.0,2
12.0,41.0,5
12.0,42.0,7
12.0,43.0,62
12.0,45.0,82
12.0,48.0,148
12.0,50.0,66
12.0,68.0,163
12.0,74.0,3
12.0,75.0,15
12.0,79.0,100
12.0,87.0,180
12.0,88.0,53
12.0,90.0,50
12.0,100.0,110
12.0,107.0,56
12.0,113.0,53
12.0,114.0,53
12.0,116.0,1
12.0,125.0,42
12.0,128.0,2
12.0,137.0,29
12.0,140.0,46
12.0,141.0,32
12.0,142.0,48
12.0,143.0,16
12.0,144.0,111
12.0,148.0,48
12.0,151.0,11
12.0,152.0,2
12.0,158.0,91
12.0,161.0,241
12.0,162.0,118
12.0,163.0,75
12.0,164.0,148
12.0,166.0,19
12.0,170.0,98
12.0,186.0,62
12.0,209.0,53
12.0,211.0,127
12.0,224.0,18
12.0,229.0,51
12.0,230.0,155
12.0,231.0,342
12.0,232.0,34
12.0,233.0,80
12.0,234.0,103
12.0,236.0,18
12.0,237.0,57
12.0,238.0,34
12.0,239.0,33
12.0,243.0,1
12.0,244.0,4
12.0,246.0,145
12.0,249.0,89
12.0,261.0,128
12.0,262.0,18
12.0,263.0,13
13.0,4.0,447
13.0,12.0,455
13.0,13.0,4614
13.0,24.0,46
13.0,41.0,91
13.0,42.0,32
13.0,43.0,656
13.0,45.0,832
13.0,48.0,3156
13.0,50.0,990
13.0,68.0,4259
13.0,74.0,60
13.0,75.0,243
13.0,79.0,1986
13.0,87.0,3137
13.0,88.0,1839
13.0,90.0,1645
13.0,100.0,2045
13.0,107.0,1801
13.0,113.0,1982
13.0,114.0,1627
13.0,116.0,33
13.0,120.0,5
13.0,125.0,1813
13.0,127.0,35
13.0,128.0,4
13.0,137.0,1033
13.0,140.0,941
13.0,141.0,918
13.0,142.0,1366
13.0,143.0,585
13.0,144.0,1622
13.0,148.0,1006
13.0,151.0,173
13.0,152.0,27
13.0,158.0,3080
13.0,161.0,4623
13.0,162.0,2873
13.0,163.0,1759
13.0,164.0,2064
13.0,166.0,165
13.0,170.0,2694
13.0,186.0,1061
13.0,209.0,637
13.0,211.0,2659
13.0,224.0,480
13.0,229.0,942
13.0,230.0,2897
13.0,231.0,7820
13.0,232.0,660
13.0,233.0,1720
13.0,234.0,3349
13.0,236.0,840
13.0,237.0,1300
13.0,238.0,535
13.0,239.0,865
13.0,243.0,47
13.0,244.0,85
13.0,246.0,3056
13.0,249.0,3169
13.0,261.0,1698
13.0,262.0,404
13.0,263.0,414
24.0,4.0,71
24.0,12.0,8
24.0,13.0,82
24.0,24.0,788
24.0,41.0,1159
24.0,42.0,487
24.0,43.0,1154
24.0,45.0,21
24.0,48.0,1013
24.0,50.0,347
24.0,68.0,560
24.0,74.0,958
24.0,75.0,801
24.0,79.0,224
24.0,87.0,70
24.0,88.0,33
24.0,90.0,169
24.0,100.0,257
24.0,107.0,221
24.0,113.0,141
24.0,114.0,113
24.0,116.0,463
24.0,120.0,12
24.0,125.0,44
24.0,127.0,88
24.0,128.0,24
24.0,137.0,121
24.0,140.0,407
24.0,141.0,496
24.0,142.0,2075
24.0,143.0,785
24.0,144.0,86
24.0,148.0,93
24.0,151.0,1396
24.0,152.0,496
24.0,158.0,175
24.0,161.0,753
24.0,162.0,490
24.0,163.0,540
24.0,164.0,261
24.0,166.0,1878
24.0,170.0,264
24.0,186.0,221
24.0,209.0,9
24.0,211.0,89
24.0,224.0,51
24.0,229.0,282
24.0,230.0,570
24.0,231.0,171
24.0,232.0,41
24.0,233.0,154
24.0,234.0,306
24.0,236.0,1207
24.0,237.0,871
24.0,238.0,3631
24.0,239.0,3248
24.0,243.0,174
24.0,244.0,658
24.0,246.0,300
24.0,249.0,224
24.0,261.0,37
24.0,262.0,394
24.0,263.0,518
