pick_up_zone,drop_off_zone,weight
4.0,4.0,1542
4.0,12.0,38
4.0,13.0,357
4.0,24.0,90
4.0,41.0,141
4.0,42.0,144
4.0,43.0,204
4.0,45.0,329
4.0,48.0,1116
4.0,50.0,331
4.0,68.0,1396
4.0,74.0,236
4.0,75.0,420
4.0,79.0,4330
4.0,87.0,899
4.0,88.0,486
4.0,90.0,1283
4.0,100.0,779
4.0,107.0,3097
4.0,113.0,2051
4.0,114.0,2025
4.0,116.0,90
4.0,120.0,7
4.0,125.0,647
4.0,127.0,46
4.0,128.0,3
4.0,137.0,1394
4.0,140.0,495
4.0,141.0,720
4.0,142.0,525
4.0,143.0,200
4.0,144.0,1689
4.0,148.0,2570
4.0,151.0,174
4.0,152.0,54
4.0,158.0,925
4.0,161.0,1046
4.0,162.0,783
4.0,163.0,360
4.0,164.0,1209
4.0,166.0,183
4.0,170.0,1617
4.0,186.0,892
4.0,209.0,321
4.0,211.0,1205
4.0,224.0,828
4.0,229.0,708
4.0,230.0,637
4.0,231.0,1411
4.0,232.0,1055
4.0,233.0,958
4.0,234.0,2292
4.0,236.0,430
4.0,237.0,563
4.0,238.0,320
4.0,239.0,448
4.0,243.0,66
4.0,244.0,123
4.0,246.0,732
4.0,249.0,2304
4.0,261.0,400
4.0,262.0,425
4.0,263.0,545
12.0,4.0,31
12.0,12.0,39
12.0,13.0,271
12.0,24.0,4
12.0,41.0,3
12.0,42.0,4
12.0,43.0,65
12.0,45.0,94
12.0,48.0,200
12.0,50.0,83
12.0,68.0,179
12.0,74.0,2
12.0,75.0,8
12.0,79.0,135
12.0,87.0,219
12.0,88.0,75
12.0,90.0,49
12.0,100.0,127
12.0,107.0,63
12.0,113.0,46
12.0,114.0,71
12.0,116.0,2
12.0,125.0,76
12.0,128.0,2
12.0,137.0,30
12.0,140.0,43
12.0,141.0,39
12.0,142.0,68
12.0,143.0,20
12.0,144.0,159
12.0,148.0,77
12.0,151.0,14
12.0,152.0,4
12.0,158.0,143
12.0,161.0,254
12.0,162.0,131
12.0,163.0,98
12.0,164.0,168
12.0,166.0,18
12.0,170.0,123
12.0,186.0,66
12.0,209.0,67
12.0,211.0,129
12.0,224.0,13
12.0,229.0,54
12.0,230.0,244
12.0,231.0,409
12.0,232.0,34
12.0,233.0,94
12.0,234.0,99
12.0,236.0,19
12.0,237.0,51
12.0,238.0,27
12.0,239.0,48
12.0,243.0,3
12.0,244.0,4
12.0,246.0,161
12.0,249.0,105
12.0,261.0,163
12.0,262.0,11
12.0,263.0,12
13.0,4.0,533
13.0,12.0,390
13.0,13.0,4558
13.0,24.0,53
13.0,41.0,111
13.0,42.0,44
13.0,43.0,746
13.0,45.0,885
13.0,48.0,3481
13.0,50.0,1153
13.0,68.0,4636
13.0,74.0,91
13.0,75.0,280
13.0,79.0,2219
13.0,87.0,3611
13.0,88.0,2108
13.0,90.0,1903
13.0,100.0,2251
13.0,107.0,2066
13.0,113.0,2126
13.0,114.0,1879
13.0,116.0,44
13.0,120.0,1
13.0,125.0,2077
13.0,127.0,23
13.0,128.0,7
13.0,137.0,1135
13.0,140.0,901
13.0,141.0,1067
13.0,142.0,1502
13.0,143.0,609
13.0,144.0,1824
13.0,148.0,1117
13.0,151.0,195
13.0,152.0,17
13.0,158.0,3536
13.0,161.0,4873
13.0,162.0,3023
13.0,163.0,1852
13.0,164.0,2396
13.0,166.0,241
13.0,170.0,2934
13.0,186.0,1035
13.0,209.0,740
13.0,211.0,2926
13.0,224.0,529
13.0,229.0,1002
13.0,230.0,3194
13.0,231.0,9036
13.0,232.0,753
13.0,233.0,1888
13.0,234.0,3676
13.0,236.0,918
13.0,237.0,1523
13.0,238.0,553
13.0,239.0,974
13.0,243.0,58
13.0,244.0,77
13.0,246.0,3355
13.0,249.0,3568
13.0,261.0,1959
13.0,262.0,455
13.0,263.0,461
24.0,4.0,78
24.0,12.0,3
24.0,13.0,79
24.0,24.0,828
24.0,41.0,1218
24.0,42.0,570
24.0,43.0,1213
24.0,45.0,15
24.0,48.0,1127
24.0,50.0,362
24.0,68.0,622
24.0,74.0,986
24.0,75.0,874
24.0,79.0,295
24.0,87.0,71
24.0,88.0,38
24.0,90.0,194
24.0,100.0,295
24.0,107.0,258
