pick_up_zone,drop_off_zone,weight
4.0,4.0,1496
4.0,12.0,34
4.0,13.0,386
4.0,24.0,82
4.0,41.0,148
4.0,42.0,140
4.0,43.0,162
4.0,45.0,338
4.0,48.0,1009
4.0,50.0,358
4.0,68.0,1411
4.0,74.0,247
4.0,75.0,392
4.0,79.0,3956
4.0,87.0,868
4.0,88.0,475
4.0,90.0,1180
4.0,100.0,762
4.0,107.0,2764
4.0,113.0,1814
4.0,114.0,1918
4.0,116.0,77
4.0,120.0,10
4.0,125.0,631
4.0,127.0,32
4.0,128.0,3
4.0,137.0,1285
4.0,140.0,513
4.0,141.0,708
4.0,142.0,523
4.0,143.0,144
4.0,144.0,1638
4.0,148.0,2340
4.0,151.0,180
4.0,152.0,53
4.0,158.0,936
4.0,161.0,976
4.0,162.0,712
4.0,163.0,379
4.0,164.0,1250
4.0,166.0,144
4.0,170.0,1478
4.0,186.0,905
4.0,209.0,332
4.0,211.0,1083
4.0,224.0,694
4.0,229.0,674
4.0,230.0,565
4.0,231.0,1250
4.0,232.0,929
4.0,233.0,871
4.0,234.0,2277
4.0,236.0,367
4.0,237.0,521
4.0,238.0,300
4.0,239.0,380
4.0,243.0,59
4.0,244.0,112
4.0,246.0,834
4.0,249.0,2137
4.0,261.0,359
4.0,262.0,379
4.0,263.0,460
12.0,4.0,33
12.0,12.0,41
12.0,13.0,296
12.0,24.0,5
12.0,41.0,1
12.0,42.0,7
12.0,43.0,59
12.0,45.0,97
12.0,48.0,191
12.0,50.0,84
12.0,68.0,160
12.0,74.0,7
12.0,75.0,14
12.0,79.0,137
12.0,87.0,195
12.0,88.0,53
12.0,90.0,45
12.0,100.0,131
12.0,107.0,74
12.0,113.0,58
12.0,114.0,68
12.0,116.0,1
12.0,125.0,58
12.0,127.0,1
12.0,137.0,46
12.0,140.0,33
12.0,141.0,48
12.0,142.0,60
12.0,143.0,13
12.0,144.0,127
12.0,148.0,84
12.0,151.0,5
12.0,152.0,1
12.0,158.0,102
12.0,161.0,224
12.0,162.0,115
12.0,163.0,86
12.0,164.0,201
12.0,166.0,15
12.0,170.0,135
12.0,186.0,74
12.0,209.0,61
12.0,211.0,102
12.0,224.0,16
12.0,229.0,67
12.0,230.0,256
12.0,231.0,390
12.0,232.0,46
12.0,233.0,82
12.0,234.0,89
12.0,236.0,17
12.0,237.0,59
12.0,238.0,26
12.0,239.0,35
12.0,243.0,4
12.0,244.0,4
12.0,246.0,170
12.0,249.0,85
12.0,261.0,171
12.0,262.0,11
12.0,263.0,7
13.0,4.0,504
13.0,12.0,382
13.0,13.0,4243
13.0,24.0,63
13.0,41.0,88
13.0,42.0,53
13.0,43.0,619
13.0,45.0,811
13.0,48.0,3254
13.0,50.0,1144
13.0,68.0,4154
13.0,74.0,80
13.0,75.0,290
13.0,79.0,2055
13.0,87.0,3442
13.0,88.0,1989
13.0,90.0,1536
13.0,100.0,2057
13.0,107.0,1997
13.0,113.0,1866
13.0,114.0,1695
13.0,116.0,55
13.0,120.0,5
13.0,125.0,1869
13.0,127.0,31
13.0,128.0,7
13.0,137.0,1093
13.0,140.0,900
13.0,141.0,925
13.0,142.0,1428
13.0,143.0,500
13.0,144.0,1573
13.0,148.0,1023
13.0,151.0,195
13.0,152.0,29
13.0,158.0,3148
13.0,161.0,4320
13.0,162.0,2704
13.0,163.0,1710
13.0,164.0,2295
13.0,166.0,200
13.0,170.0,2811
13.0,186.0,951
13.0,209.0,586
13.0,211.0,2800
13.0,224.0,446
13.0,229.0,970
13.0,230.0,3033
13.0,231.0,7901
13.0,232.0,697
13.0,233.0,1679
13.0,234.0,3349
13.0,236.0,793
13.0,237.0,1361
13.0,238.0,490
13.0,239.0,823
13.0,243.0,55
13.0,244.0,80
13.0,246.0,2994
13.0,249.0,3136
13.0,261.0,1727
13.0,262.0,386
13.0,263.0,475
24.0,4.0,69
24.0,12.0,3
24.0,13.0,83
24.0,24.0,846
24.0,41.0,1154
24.0,42.0,538
24.0,43.0,1148
24.0,45.0,14
24.0,48.0,1019
24.0,50.0,359
24.0,68.0,647
24.0,74.0,1005
24.0,75.0,827
24.0,79.0,292
24.0,87.0,61
24.0,88.0,38
24.0,90.0,181
24.0,100.0,261
24.0,107.0,244
24.0,113.0,123
24.0,114.0,140
24.0,116.0,471
24.0,120.0,23
24.0,125.0,57
24.0,127.0,109
24.0,128.0,13
24.0,137.0,121
24.0,140.0,388
24.0,141.0,484
24.0,142.0,2154
24.0,143.0,826
24.0,144.0,100
24.0,148.0,101
24.0,151.0,1423
24.0,152.0,466
24.0,158.0,180
24.0,161.0,771
24.0,162.0,484
24.0,163.0,515
24.0,164.0,311
24.0,166.0,1940
24.0,170.0,288
24.0,186.0,235
24.0,209.0,11
24.0,211.0,103
24.0,224.0,59
24.0,229.0,230
24.0,230.0,649
24.0,231.0,183
24.0,232.0,49
24.0,233.0,165
24.0,234.0,359
24.0,236.0,1190
24.0,237.0,842
24.0,238.0,3473
24.0,239.0,3232
24.0,243.0,253
24.0,244.0,623
24.0,246.0,358
24.0,249.0,245
24.0,261.0,42
24.0,262.0,314
24.0,263.0,576
41.0,4.0,95
41.0,12.0,6
41.0,13.0,57
41.0,24.0,920
41.0,41.0,4026
41.0,42.0,1462
41.0,43.0,1108
41.0,45.0,24
41.0,48.0,1003
41.0,50.0,265
41.0,68.0,625
41.0,74.0,2234
41.0,75.0,1532
41.0,79.0,303
41.0,87.0,65
41.0,88.0,43
41.0,90.0,217
41.0,100.0,320
41.0,107.0,253
41.0,113.0,163
41.0,114.0,163
41.0,116.0,636
41.0,120.0,34
41.0,125.0,61
41.0,127.0,99
41.0,128.0,13
41.0,137.0,245
41.0,140.0,416
41.0,141.0,467
41.0,142.0,1368
41.0,143.0,305
41.0,144.0,101
41.0,148.0,152
41.0,151.0,1453
41.0,152.0,641
41.0,158.0,210
41.0,161.0,856
41.0,162.0,486
41.0,163.0,570
41.0,164.0,344
41.0,166.0,2732
41.0,170.0,330
41.0,186.0,284
41.0,209.0,20
41.0,211.0,94
41.0,224.0,77
41.0,229.0,248
41.0,230.0,658
41.0,231.0,183
41.0,232.0,63
41.0,233.0,231
41.0,234.0,390
41.0,236.0,1122
41.0,237.0,739
41.0,238.0,1689
41.0,239.0,1533
41.0,243.0,191
41.0,244.0,436
41.0,246.0,340
41.0,249.0,254
41.0,261.0,34
41.0,262.0,306
41.0,263.0,587
42.0,4.0,30
42.0,12.0,2
42.0,13.0,16
42.0,24.0,110
42.0,41.0,1183
42.0,42.0,2892
42.0,43.0,284
42.0,45.0,8
42.0,48.0,198
42.0,50.0,71
42.0,68.0,125
42.0,74.0,1056
42.0,75.0,485
42.0,79.0,100
42.0,87.0,26
42.0,88.0,40
42.0,90.0,33
42.0,100.0,69
42.0,107.0,59
42.0,113.0,25
42.0,114.0,46
42.0,116.0,381
42.0,120.0,63
42.0,125.0,25
42.0,127.0,64
42.0,128.0,3
42.0,137.0,100
42.0,140.0,88
42.0,141.0,137
42.0,142.0,240
42.0,143.0,58
42.0,144.0,22
42.0,148.0,49
42.0,151.0,203
42.0,152.0,385
42.0,158.0,32
42.0,161.0,234
42.0,162.0,117
42.0,163.0,130
42.0,164.0,74
42.0,166.0,442
42.0,170.0,82
42.0,186.0,87
42.0,209.0,13
42.0,211.0,31
42.0,224.0,13
42.0,229.0,63
42.0,230.0,145
42.0,231.0,40
42.0,232.0,22
42.0,233.0,53
42.0,234.0,90
42.0,236.0,287
42.0,237.0,197
42.0,238.0,261
42.0,239.0,208
42.0,243.0,80
42.0,244.0,237
42.0,246.0,94
42.0,249.0,46
42.0,261.0,8
42.0,262.0,108
42.0,263.0,117
43.0,4.0,287
43.0,12.0,66
43.0,13.0,914
43.0,24.0,840
43.0,41.0,1180
43.0,42.0,543
43.0,43.0,14959
43.0,45.0,187
43.0,48.0,5582
43.0,50.0,1648
43.0,68.0,3334
43.0,74.0,1254
43.0,75.0,2239
43.0,79.0,1691
43.0,87.0,620
43.0,88.0,370
43.0,90.0,1731
43.0,100.0,4295
43.0,107.0,2062
43.0,113.0,1923
43.0,114.0,1351
43.0,116.0,274
43.0,120.0,14
43.0,125.0,588
43.0,127.0,81
43.0,128.0,17
43.0,137.0,992
43.0,140.0,3180
43.0,141.0,5745
43.0,142.0,13350
43.0,143.0,3327
43.0,144.0,1074
43.0,148.0,565
43.0,151.0,2674
43.0,152.0,214
43.0,158.0,1415
43.0,161.0,14915
43.0,162.0,6115
43.0,163.0,6404
43.0,164.0,5298
43.0,166.0,1951
43.0,170.0,4031
43.0,186.0,3710
43.0,209.0,195
43.0,211.0,1309
43.0,224.0,354
43.0,229.0,2833
43.0,230.0,7847
43.0,231.0,1811
43.0,232.0,259
43.0,233.0,2022
43.0,234.0,4143
43.0,236.0,11425
43.0,237.0,13160
43.0,238.0,7204
43.0,239.0,9921
43.0,243.0,244
43.0,244.0,438
43.0,246.0,2459
43.0,249.0,2165
43.0,261.0,632
43.0,262.0,2838
43.0,263.0,3733
45.0,4.0,460
45.0,12.0,70
45.0,13.0,553
45.0,24.0,21
45.0,41.0,60
45.0,42.0,48
45.0,43.0,168
45.0,45.0,1665
45.0,48.0,587
45.0,50.0,160
45.0,68.0,643
45.0,74.0,87
45.0,75.0,102
45.0,79.0,1493
45.0,87.0,1175
45.0,88.0,519
45.0,90.0,373
45.0,100.0,582
45.0,107.0,769
45.0,113.0,532
45.0,114.0,510
45.0,116.0,24
45.0,120.0,11
45.0,125.0,299
45.0,127.0,6
45.0,128.0,1
45.0,137.0,358
45.0,140.0,231
45.0,141.0,220
45.0,142.0,216
45.0,143.0,97
45.0,144.0,908
45.0,148.0,991
45.0,151.0,72
45.0,152.0,20
45.0,158.0,454
45.0,161.0,852
45.0,162.0,483
45.0,163.0,249
45.0,164.0,773
45.0,166.0,48
45.0,170.0,840
45.0,186.0,574
45.0,209.0,471
45.0,211.0,385
45.0,224.0,156
45.0,229.0,271
45.0,230.0,706
45.0,231.0,1590
45.0,232.0,765
45.0,233.0,404
45.0,234.0,741
45.0,236.0,179
45.0,237.0,279
45.0,238.0,111
45.0,239.0,159
45.0,243.0,12
45.0,244.0,18
45.0,246.0,402
45.0,249.0,744
45.0,261.0,803
45.0,262.0,149
45.0,263.0,153
48.0,4.0,1659
48.0,12.0,191
48.0,13.0,3940
48.0,24.0,1522
48.0,41.0,2732
48.0,42.0,2193
48.0,43.0,8113
48.0,45.0,679
48.0,48.0,31353
48.0,50.0,12174
48.0,68.0,28658
48.0,74.0,1996
48.0,75.0,3306
48.0,79.0,9269
48.0,87.0,2847
48.0,88.0,1191
48.0,90.0,9983
48.0,100.0,11721
48.0,107.0,8693
48.0,113.0,4974
48.0,114.0,4653
48.0,116.0,1836
48.0,120.0,155
48.0,125.0,2660
48.0,127.0,852
48.0,128.0,124
48.0,137.0,4622
48.0,140.0,4157
48.0,141.0,7241
48.0,142.0,21408
48.0,143.0,8043
48.0,144.0,3421
48.0,148.0,3077
48.0,151.0,4196
48.0,152.0,997
48.0,158.0,6936
48.0,161.0,29126
48.0,162.0,13182
48.0,163.0,14513
48.0,164.0,13430
48.0,166.0,3266
48.0,170.0,12775
48.0,186.0,10691
48.0,209.0,569
48.0,211.0,3830
48.0,224.0,1684
48.0,229.0,5763
48.0,230.0,16977
48.0,231.0,7073
48.0,232.0,1169
48.0,233.0,6093
48.0,234.0,13224
48.0,236.0,7313
48.0,237.0,10462
48.0,238.0,8979
48.0,239.0,13370
48.0,243.0,1707
48.0,244.0,2628
48.0,246.0,15330
48.0,249.0,11976
48.0,261.0,2641
48.0,262.0,3067
48.0,263.0,4903
50.0,4.0,444
50.0,12.0,78
50.0,13.0,1625
50.0,24.0,499
50.0,41.0,680
50.0,42.0,504
50.0,43.0,1865
50.0,45.0,251
50.0,48.0,10175
50.0,50.0,7467
50.0,68.0,8032
50.0,74.0,535
50.0,75.0,858
50.0,79.0,2491
50.0,87.0,1023
50.0,88.0,469
50.0,90.0,2345
50.0,100.0,4659
50.0,107.0,2232
50.0,113.0,1441
50.0,114.0,1109
50.0,116.0,442
50.0,120.0,40
50.0,125.0,715
50.0,127.0,209
50.0,128.0,34
50.0,137.0,916
50.0,140.0,843
50.0,141.0,1836
50.0,142.0,6611
50.0,143.0,3005
50.0,144.0,960
50.0,148.0,805
50.0,151.0,1354
50.0,152.0,302
50.0,158.0,2406
50.0,161.0,7295
50.0,162.0,3247
50.0,163.0,5065
50.0,164.0,3714
50.0,166.0,1335
50.0,170.0,2845
50.0,186.0,2964
50.0,209.0,186
50.0,211.0,1155
50.0,224.0,408
50.0,229.0,1260
50.0,230.0,7252
50.0,231.0,2469
50.0,232.0,318
50.0,233.0,1190
50.0,234.0,3531
50.0,236.0,1766
50.0,237.0,2501
50.0,238.0,2867
50.0,239.0,4618
50.0,243.0,374
50.0,244.0,706
50.0,246.0,5173
50.0,249.0,2966
50.0,261.0,911
50.0,262.0,759
50.0,263.0,1159
68.0,4.0,1931
68.0,12.0,171
68.0,13.0,4090
68.0,24.0,663
68.0,41.0,1131
68.0,42.0,961
68.0,43.0,3454
68.0,45.0,709
68.0,48.0,20758
68.0,50.0,7181
68.0,68.0,23795
68.0,74.0,890
68.0,75.0,1529
68.0,79.0,10809
68.0,87.0,3289
68.0,88.0,1075
68.0,90.0,9002
68.0,100.0,8079
68.0,107.0,10013
68.0,113.0,6835
68.0,114.0,6180
68.0,116.0,657
68.0,120.0,49
68.0,125.0,3878
68.0,127.0,354
68.0,128.0,47
68.0,137.0,4106
68.0,140.0,2172
68.0,141.0,4069
68.0,142.0,8497
68.0,143.0,2921
68.0,144.0,5254
68.0,148.0,3923
68.0,151.0,1647
68.0,152.0,370
68.0,158.0,7836
68.0,161.0,14863
68.0,162.0,6282
68.0,163.0,6976
68.0,164.0,10500
68.0,166.0,1531
68.0,170.0,10921
68.0,186.0,4583
68.0,209.0,589
68.0,211.0,6090
68.0,224.0,1715
68.0,229.0,3137
68.0,230.0,11748
68.0,231.0,8951
68.0,232.0,1352
68.0,233.0,3762
68.0,234.0,15500
68.0,236.0,3838
68.0,237.0,5218
68.0,238.0,3253
68.0,239.0,4840
68.0,243.0,599
68.0,244.0,974
68.0,246.0,14604
68.0,249.0,13933
68.0,261.0,2382
68.0,262.0,1819
68.0,263.0,2565
74.0,4.0,197
