pick_up_zone,drop_off_zone,weight
4.0,4.0,1708
4.0,12.0,16
4.0,13.0,225
4.0,24.0,30
4.0,41.0,39
4.0,42.0,46
4.0,43.0,121
4.0,45.0,202
4.0,48.0,442
4.0,50.0,122
4.0,68.0,732
4.0,74.0,97
4.0,75.0,127
4.0,79.0,2656
4.0,87.0,375
4.0,88.0,251
4.0,90.0,681
4.0,100.0,371
4.0,107.0,1870
4.0,113.0,1590
4.0,114.0,1350
4.0,116.0,22
4.0,120.0,3
4.0,125.0,258
4.0,127.0,12
4.0,128.0,1
4.0,137.0,802
4.0,140.0,198
4.0,141.0,300
4.0,142.0,295
4.0,143.0,59
4.0,144.0,1131
4.0,148.0,1390
4.0,151.0,87
4.0,152.0,15
4.0,158.0,439
4.0,161.0,543
4.0,162.0,349
4.0,163.0,169
4.0,164.0,759
4.0,166.0,46
4.0,170.0,925
4.0,186.0,650
4.0,209.0,260
4.0,211.0,864
4.0,224.0,590
4.0,229.0,332
4.0,230.0,299
4.0,231.0,691
4.0,232.0,781
4.0,233.0,403
4.0,234.0,1732
4.0,236.0,199
4.0,237.0,311
4.0,238.0,157
4.0,239.0,155
4.0,243.0,6
4.0,244.0,16
4.0,246.0,393
4.0,249.0,1304
4.0,261.0,171
4.0,262.0,153
4.0,263.0,164
12.0,4.0,37
12.0,12.0,58
12.0,13.0,163
12.0,24.0,3
12.0,41.0,5
12.0,42.0,12
12.0,43.0,150
12.0,45.0,149
12.0,48.0,410
12.0,50.0,97
12.0,68.0,324
12.0,74.0,2
12.0,75.0,10
12.0,79.0,137
12.0,87.0,241
12.0,88.0,65
12.0,90.0,73
12.0,100.0,241
12.0,107.0,113
12.0,113.0,69
12.0,114.0,88
12.0,116.0,2
12.0,125.0,69
12.0,137.0,68
12.0,140.0,39
12.0,141.0,52
12.0,142.0,87
12.0,143.0,26
12.0,144.0,222
12.0,148.0,101
12.0,151.0,8
12.0,158.0,147
12.0,161.0,542
12.0,162.0,273
12.0,163.0,175
12.0,164.0,426
12.0,166.0,12
12.0,170.0,270
12.0,186.0,144
