pick_up_zone,drop_off_zone,weight
4.0,4.0,1800
4.0,12.0,42
4.0,13.0,431
4.0,24.0,42
4.0,41.0,74
4.0,42.0,90
4.0,43.0,158
4.0,45.0,341
4.0,48.0,684
4.0,50.0,256
4.0,68.0,1264
4.0,74.0,273
4.0,75.0,304
4.0,79.0,3026
4.0,87.0,1317
4.0,88.0,995
4.0,90.0,1050
4.0,100.0,1229
4.0,107.0,2642
4.0,113.0,1496
4.0,114.0,1045
4.0,116.0,41
4.0,120.0,2
4.0,125.0,1211
4.0,127.0,13
4.0,137.0,1568
4.0,140.0,702
4.0,141.0,388
4.0,142.0,326
4.0,143.0,152
4.0,144.0,1254
4.0,148.0,2109
4.0,151.0,63
4.0,152.0,43
4.0,158.0,381
4.0,161.0,2587
4.0,162.0,2009
4.0,163.0,572
4.0,164.0,1528
4.0,166.0,118
4.0,170.0,2436
4.0,186.0,1096
4.0,209.0,245
4.0,211.0,1049
4.0,224.0,512
4.0,229.0,491
4.0,230.0,631
4.0,231.0,1791
4.0,232.0,872
4.0,233.0,1407
4.0,234.0,2743
4.0,236.0,255
4.0,237.0,1004
4.0,238.0,131
4.0,239.0,302
4.0,243.0,15
4.0,244.0,44
4.0,246.0,1125
4.0,249.0,1306
4.0,261.0,207
4.0,262.0,131
4.0,263.0,127
12.0,4.0,59
12.0,12.0,33
12.0,13.0,1042
12.0,41.0,1
12.0,42.0,17
12.0,43.0,13
12.0,45.0,40
12.0,48.0,70
12.0,50.0,87
12.0,68.0,135
12.0,74.0,4
12.0,75.0,7
12.0,79.0,51
12.0,87.0,306
12.0,88.0,40
12.0,90.0,30
12.0,100.0,104
12.0,107.0,49
12.0,113.0,61
12.0,114.0,28
12.0,116.0,1
12.0,125.0,76
12.0,128.0,1
12.0,137.0,44
12.0,140.0,94
12.0,141.0,13
12.0,142.0,127
12.0,143.0,8
12.0,144.0,40
12.0,148.0,11
12.0,151.0,2
12.0,152.0,1
12.0,158.0,92
12.0,161.0,328
12.0,162.0,140
12.0,163.0,158
12.0,164.0,84
12.0,166.0,24
12.0,170.0,112
12.0,186.0,28
12.0,209.0,27
12.0,211.0,53
12.0,224.0,6
12.0,229.0,87
12.0,230.0,94
12.0,231.0,717
12.0,232.0,23
12.0,233.0,108
12.0,234.0,142
12.0,236.0,13
12.0,237.0,140
12.0,238.0,64
12.0,239.0,5
12.0,244.0,3
12.0,246.0,260
12.0,249.0,32
12.0,261.0,90
12.0,262.0,6
12.0,263.0,3
13.0,4.0,436
13.0,12.0,1175
13.0,13.0,9237
13.0,24.0,26
13.0,41.0,33
13.0,42.0,37
13.0,43.0,941
13.0,45.0,1249
13.0,48.0,3938
13.0,50.0,1497
13.0,68.0,6101
13.0,74.0,48
13.0,75.0,522
13.0,79.0,743
13.0,87.0,10614
13.0,88.0,7165
13.0,90.0,2060
13.0,100.0,6343
13.0,107.0,2728
13.0,113.0,2739
13.0,114.0,1824
13.0,116.0,17
13.0,120.0,3
13.0,125.0,3238
13.0,127.0,9
13.0,128.0,3
13.0,137.0,2321
13.0,140.0,1718
13.0,141.0,864
13.0,142.0,1357
13.0,143.0,421
13.0,144.0,1536
13.0,148.0,612
13.0,151.0,69
13.0,152.0,19
13.0,158.0,2967
13.0,161.0,14735
13.0,162.0,10215
13.0,163.0,5320
13.0,164.0,4421
13.0,166.0,396
13.0,170.0,5460
13.0,186.0,1906
13.0,209.0,811
13.0,211.0,3489
13.0,224.0,279
13.0,229.0,1687
13.0,230.0,7881
13.0,231.0,23630
13.0,232.0,842
13.0,233.0,5047
13.0,234.0,6554
13.0,236.0,1331
13.0,237.0,3133
13.0,238.0,563
13.0,239.0,681
13.0,243.0,26
13.0,244.0,116
13.0,246.0,5416
13.0,249.0,3338
13.0,261.0,4462
13.0,262.0,232
13.0,263.0,185
24.0,4.0,38
24.0,12.0,12
24.0,13.0,387
24.0,24.0,810
24.0,41.0,626
24.0,42.0,414
24.0,43.0,2560
24.0,45.0,12
24.0,48.0,1023
24.0,50.0,469
24.0,68.0,922
24.0,74.0,1465
24.0,75.0,1506
24.0,79.0,56
24.0,87.0,169
24.0,88.0,109
24.0,90.0,330
24.0,100.0,487
24.0,107.0,297
24.0,113.0,225
24.0,114.0,57
24.0,116.0,144
24.0,120.0,8
24.0,125.0,85
24.0,127.0,42
24.0,128.0,29
24.0,137.0,243
24.0,140.0,1077
24.0,141.0,685
24.0,142.0,3057
24.0,143.0,1113
24.0,144.0,89
24.0,148.0,22
24.0,151.0,1479
24.0,152.0,441
24.0,158.0,227
24.0,161.0,2815
24.0,162.0,1566
24.0,163.0,1781
24.0,164.0,436
24.0,166.0,2062
24.0,170.0,597
24.0,186.0,505
24.0,209.0,11
24.0,211.0,90
24.0,224.0,13
24.0,229.0,335
24.0,230.0,1620
24.0,231.0,350
24.0,232.0,17
24.0,233.0,326
24.0,234.0,785
24.0,236.0,2124
24.0,237.0,1527
24.0,238.0,6240
24.0,239.0,4424
24.0,243.0,106
24.0,244.0,875
24.0,246.0,518
24.0,249.0,119
24.0,261.0,58
24.0,262.0,293
24.0,263.0,303
41.0,4.0,127
41.0,12.0,7
41.0,13.0,155
41.0,24.0,1590
41.0,41.0,4001
41.0,42.0,1113
41.0,43.0,2539
41.0,45.0,43
41.0,48.0,769
41.0,50.0,354
41.0,68.0,800
41.0,74.0,3052
41.0,75.0,2625
41.0,79.0,74
41.0,87.0,181
41.0,88.0,65
41.0,90.0,188
41.0,100.0,611
41.0,107.0,384
41.0,113.0,278
41.0,114.0,74
41.0,116.0,258
41.0,120.0,15
41.0,125.0,66
41.0,127.0,77
41.0,128.0,24
41.0,137.0,875
41.0,140.0,1290
41.0,141.0,509
41.0,142.0,1616
41.0,143.0,339
